表serial,电表地址,网关serial,总线(ch),电量(kWh)
S2-F3-DB02-316,16,NS-S2-F2-DBWG01,3,1296.68
S2-F3-DB02-317,17,NS-S2-F2-DBWG01,3,1861.98
S2-F3-DB02-318,18,NS-S2-F2-DBWG01,3,2441.37
S2-F3-DB02-319,19,NS-S2-F2-DBWG01,3,1884.43
S2-F3-DB02-320,20,NS-S2-F2-DBWG01,3,344.01
S2-F3-DB02-321,21,NS-S2-F2-DBWG01,3,1578.65
S2-F3-DB02-322,22,NS-S2-F2-DBWG01,3,831.37
S2-F3-DB02-323,23,NS-S2-F2-DBWG01,3,1258.97
S2-F3-DB02-324,24,NS-S2-F2-DBWG01,3,1855.58
S2-F3-DB03-325,25,NS-S2-F2-DBWG01,3,989.55
S2-F3-DB03-326,26,NS-S2-F2-DBWG01,3,948.63
S2-F3-DB03-327,27,NS-S2-F2-DBWG01,3,1494.77
S2-F3-DB03-328,28,NS-S2-F2-DBWG01,3,1577.89
S2-F3-DB03-329,29,NS-S2-F2-DBWG01,3,1515.9
S2-F3-DB03-330,30,NS-S2-F2-DBWG01,3,1570.13
S2-F3-DB03-331,31,NS-S2-F2-DBWG01,3,1633.89
S2-F4-DB01-401,1,NS-S2-F2-DBWG02,1,1153.45
S2-F4-DB01-402,2,NS-S2-F2-DBWG02,1,1489.41
S2-F4-DB01-403,3,NS-S2-F2-DBWG02,1,1721.97
S2-F4-DB01-404,4,NS-S2-F2-DBWG02,1,1076.13
S2-F4-DB01-405,5,NS-S2-F2-DBWG02,1,1898.21
S2-F4-DB01-406,6,NS-S2-F2-DBWG02,1,916.93
S2-F4-DB01-407,7,NS-S2-F2-DBWG02,1,1342.03
S2-F4-DB01-408,8,NS-S2-F2-DBWG02,1,2969.3
S2-F4-DB01-409,9,NS-S2-F2-DBWG02,1,1094.72
S2-F4-DB01-410,10,NS-S2-F2-DBWG02,1,1422.29
S2-F4-DB01-411,11,NS-S2-F2-DBWG02,1,1050.78
S2-F4-DB01-412,12,NS-S2-F2-DBWG02,1,1373.83
S2-F4-DB02-413,13,NS-S2-F2-DBWG02,1,303.19
S2-F4-DB02-414,14,NS-S2-F2-DBWG02,1,2094.39
S2-F4-DB02-415,15,NS-S2-F2-DBWG02,1,1229.64
S2-F4-DB02-416,16,NS-S2-F2-DBWG02,1,1579.8
S2-F4-DB02-417,17,NS-S2-F2-DBWG02,1,640.98
S2-F4-DB02-418,18,NS-S2-F2-DBWG02,1,1598.63
S2-F4-DB02-419,19,NS-S2-F2-DBWG02,1,1745.4
S2-F4-DB02-420,20,NS-S2-F2-DBWG02,1,1178.64
S2-F4-DB02-421,21,NS-S2-F2-DBWG02,1,554.98
S2-F4-DB02-422,22,NS-S2-F2-DBWG02,1,709.81
S2-F4-DB02-423,23,NS-S2-F2-DBWG02,1,1116.48
S2-F4-DB02-424,24,NS-S2-F2-DBWG02,1,701.68
S2-F4-DB03-425,25,NS-S2-F2-DBWG02,1,1653.56
S2-F4-DB03-426,26,NS-S2-F2-DBWG02,1,1115.19
S2-F4-DB03-427,27,NS-S2-F2-DBWG02,1,1193.39
S2-F4-DB03-428,28,NS-S2-F2-DBWG02,1,1265.56
S2-F4-DB03-429,29,NS-S2-F2-DBWG02,1,1134.48
S2-F4-DB03-430,30,NS-S2-F2-DBWG02,1,1592.13
S2-F4-DB03-431,31,NS-S2-F2-DBWG02,1,2683.92
S2-F5-DB01-501,1,NS-S2-F2-DBWG02,2,743.63
S2-F5-DB01-502,2,NS-S2-F2-DBWG02,2,2204.26
S2-F5-DB01-503,3,NS-S2-F2-DBWG02,2,410.58
S2-F5-DB01-504,4,NS-S2-F2-DBWG02,2,1050.91
S2-F5-DB01-505,5,NS-S2-F2-DBWG02,2,545.95
S2-F5-DB01-506,6,NS-S2-F2-DBWG02,2,823.08
S2-F5-DB01-507,7,NS-S2-F2-DBWG02,2,549.24
S2-F5-DB01-508,8,NS-S2-F2-DBWG02,2,768.86
S2-F5-DB01-509,9,NS-S2-F2-DBWG02,2,764.57
S2-F5-DB01-510,10,NS-S2-F2-DBWG02,2,375.34
S2-F5-DB01-511,11,NS-S2-F2-DBWG02,2,559.85
S2-F5-DB01-512,12,NS-S2-F2-DBWG02,2,1286.01
S2-F5-DB02-513,13,NS-S2-F2-DBWG02,2,904.5
S2-F5-DB02-514,14,NS-S2-F2-DBWG02,2,293.8
S2-F5-DB02-515,15,NS-S2-F2-DBWG02,2,345.25
S2-F5-DB02-516,16,NS-S2-F2-DBWG02,2,301.83
S2-F5-DB02-517,17,NS-S2-F2-DBWG02,2,632
S2-F5-DB02-518,18,NS-S2-F2-DBWG02,2,731.25
S2-F5-DB02-519,19,NS-S2-F2-DBWG02,2,964.51
S2-F5-DB02-520,20,NS-S2-F2-DBWG02,2,774.31
S2-F5-DB02-521,21,NS-S2-F2-DBWG02,2,367.1
S2-F5-DB02-522,22,NS-S2-F2-DBWG02,2,748.93
S2-F5-DB02-523,23,NS-S2-F2-DBWG02,2,413.94
S2-F5-DB02-524,24,NS-S2-F2-DBWG02,2,555.62
S2-F5-DB03-525,25,NS-S2-F2-DBWG02,2,244.83
S2-F5-DB03-526,26,NS-S2-F2-DBWG02,2,758.76
S2-F5-DB03-527,27,NS-S2-F2-DBWG02,2,371.94
S2-F5-DB03-528,28,NS-S2-F2-DBWG02,2,385.51
S2-F5-DB03-529,29,NS-S2-F2-DBWG02,2,736.04
S2-F5-DB03-530,30,NS-S2-F2-DBWG02,2,858.62
S2-F5-DB03-531,31,NS-S2-F2-DBWG02,2,812.25
S2-F6-DB01-601,1,NS-S2-F2-DBWG02,3,1004.01
S2-F6-DB01-602,2,NS-S2-F2-DBWG02,3,843.61
S2-F6-DB01-603,3,NS-S2-F2-DBWG02,3,945.14
S2-F6-DB01-604,4,NS-S2-F2-DBWG02,3,1036.33
S2-F6-DB01-605,5,NS-S2-F2-DBWG02,3,2526.83
S2-F6-DB01-606,6,NS-S2-F2-DBWG02,3,873.2
S2-F6-DB01-607,7,NS-S2-F2-DBWG02,3,1535.78
S2-F6-DB01-608,8,NS-S2-F2-DBWG02,3,1183.09
S2-F6-DB01-609,9,NS-S2-F2-DBWG02,3,1481.39
S2-F6-DB01-610,10,NS-S2-F2-DBWG02,3,1094.9
S2-F6-DB01-611,11,NS-S2-F2-DBWG02,3,1637.42
S2-F6-DB01-612,12,NS-S2-F2-DBWG02,3,1441.7
S2-F6-DB02-613,13,NS-S2-F2-DBWG02,3,1897
S2-F6-DB02-614,14,NS-S2-F2-DBWG02,3,1764.44
S2-F6-DB02-615,15,NS-S2-F2-DBWG02,3,770.81
S2-F6-DB02-616,16,NS-S2-F2-DBWG02,3,1658.86
S2-F6-DB02-617,17,NS-S2-F2-DBWG02,3,715.35
S2-F6-DB02-618,18,NS-S2-F2-DBWG02,3,2010.91
S2-F6-DB02-619,19,NS-S2-F2-DBWG02,3,1192.95
S2-F6-DB02-620,20,NS-S2-F2-DBWG02,3,907.46
S2-F6-DB02-621,21,NS-S2-F2-DBWG02,3,1746.49
S2-F6-DB02-622,22,NS-S2-F2-DBWG02,3,591.31
S2-F6-DB02-623,23,NS-S2-F2-DBWG02,3,1074.38
S2-F6-DB02-624,24,NS-S2-F2-DBWG02,3,874.87
S2-F6-DB03-625,25,NS-S2-F2-DBWG02,3,1224.51
S2-F6-DB03-626,26,NS-S2-F2-DBWG02,3,1577.93
S2-F6-DB03-627,27,NS-S2-F2-DBWG02,3,845.94
S2-F6-DB03-628,28,NS-S2-F2-DBWG02,3,1135.02
S2-F6-DB03-629,29,NS-S2-F2-DBWG02,3,1182.01
S2-F6-DB03-630,30,NS-S2-F2-DBWG02,3,1086.44
S2-F6-DB03-631,31,NS-S2-F2-DBWG02,3,752.78
S2-F7-DB01-701,1,NS-S2-F2-DBWG03,1,1391.28
S2-F7-DB01-702,2,NS-S2-F2-DBWG03,1,1737.75
S2-F7-DB01-703,3,NS-S2-F2-DBWG03,1,2577.69
S2-F7-DB01-704,4,NS-S2-F2-DBWG03,1,2152.07
S2-F7-DB01-705,5,NS-S2-F2-DBWG03,1,997.02
S2-F7-DB01-706,6,NS-S2-F2-DBWG03,1,726.57
S2-F7-DB01-707,7,NS-S2-F2-DBWG03,1,1651.87
S2-F7-DB01-708,8,NS-S2-F2-DBWG03,1,624.97
S2-F7-DB01-709,9,NS-S2-F2-DBWG03,1,659.79
S2-F7-DB01-710,10,NS-S2-F2-DBWG03,1,1432.03
S2-F7-DB01-711,11,NS-S2-F2-DBWG03,1,1432.92
S2-F7-DB01-712,12,NS-S2-F2-DBWG03,1,577.78
S2-F7-DB02-713,13,NS-S2-F2-DBWG03,1,495.65
S2-F7-DB02-714,14,NS-S2-F2-DBWG03,1,1161.03
S2-F7-DB02-715,15,NS-S2-F2-DBWG03,1,1192.32
S2-F7-DB02-716,16,NS-S2-F2-DBWG03,1,1168.65
S2-F7-DB02-717,17,NS-S2-F2-DBWG03,1,741.22
S2-F7-DB02-718,18,NS-S2-F2-DBWG03,1,778.93
S2-F7-DB02-719,19,NS-S2-F2-DBWG03,1,1314.55
S2-F7-DB02-720,20,NS-S2-F2-DBWG03,1,811.02
S2-F7-DB02-721,21,NS-S2-F2-DBWG03,1,260.71
S2-F7-DB02-722,22,NS-S2-F2-DBWG03,1,1103.32
S2-F7-DB02-723,23,NS-S2-F2-DBWG03,1,1307.03
S2-F7-DB02-724,24,NS-S2-F2-DBWG03,1,951.58
S2-F7-DB03-725,25,NS-S2-F2-DBWG03,1,1341.2
S2-F7-DB03-726,26,NS-S2-F2-DBWG03,1,1136.25
S2-F7-DB03-727,27,NS-S2-F2-DBWG03,1,940.32
S2-F7-DB03-728,28,NS-S2-F2-DBWG03,1,442.45
S2-F7-DB03-729,29,NS-S2-F2-DBWG03,1,1482.31
S2-F7-DB03-730,30,NS-S2-F2-DBWG03,1,543.39
S2-F7-DB03-731,31,NS-S2-F2-DBWG03,1,623.89
S2-F8-DB01-801,1,NS-S2-F2-DBWG03,2,1460.49
S2-F8-DB01-802,2,NS-S2-F2-DBWG03,2,1063.19
S2-F8-DB01-803,3,NS-S2-F2-DBWG03,2,1686.94
S2-F8-DB01-804,4,NS-S2-F2-DBWG03,2,841.58
S2-F8-DB01-805,5,NS-S2-F2-DBWG03,2,1409.54
S2-F8-DB01-806,6,NS-S2-F2-DBWG03,2,1426.53
S2-F8-DB01-807,7,NS-S2-F2-DBWG03,2,1428.04
S2-F8-DB01-808,8,NS-S2-F2-DBWG03,2,1345.93
S2-F8-DB01-809,9,NS-S2-F2-DBWG03,2,695.16
S2-F8-DB01-810,10,NS-S2-F2-DBWG03,2,1056.57
S2-F8-DB01-811,11,NS-S2-F2-DBWG03,2,1495.67
S2-F8-DB01-812,12,NS-S2-F2-DBWG03,2,775.47
S2-F8-DB02-813,13,NS-S2-F2-DBWG03,2,918.71
S2-F8-DB02-814,14,NS-S2-F2-DBWG03,2,1442.97
S2-F8-DB02-815,15,NS-S2-F2-DBWG03,2,358.83
S2-F8-DB02-816,16,NS-S2-F2-DBWG03,2,978.32
S2-F8-DB02-817,17,NS-S2-F2-DBWG03,2,1235.68
S2-F8-DB02-818,18,NS-S2-F2-DBWG03,2,1776.08
S2-F8-DB02-819,19,NS-S2-F2-DBWG03,2,1381.59
S2-F8-DB02-820,20,NS-S2-F2-DBWG03,2,1257.23
S2-F8-DB02-821,21,NS-S2-F2-DBWG03,2,1346.93
S2-F8-DB02-822,22,NS-S2-F2-DBWG03,2,955.03
S2-F8-DB02-823,23,NS-S2-F2-DBWG03,2,686.73
S2-F8-DB02-824,24,NS-S2-F2-DBWG03,2,1108.05
S2-F8-DB03-825,25,NS-S2-F2-DBWG03,2,1067.56
S2-F8-DB03-826,26,NS-S2-F2-DBWG03,2,864.71
S2-F8-DB03-827,27,NS-S2-F2-DBWG03,2,1291.99
S2-F8-DB03-828,28,NS-S2-F2-DBWG03,2,1527.8
S2-F8-DB03-829,29,NS-S2-F2-DBWG03,2,771.52
S2-F8-DB03-830,30,NS-S2-F2-DBWG03,2,784
S2-F8-DB03-831,31,NS-S2-F2-DBWG03,2,2031.23
S2-F9-DB01-901,1,NS-S2-F2-DBWG03,3,1263.21
S2-F9-DB01-902,2,NS-S2-F2-DBWG03,3,1871.83
S2-F9-DB01-903,3,NS-S2-F2-DBWG03,3,691.73
S2-F9-DB01-904,4,NS-S2-F2-DBWG03,3,804.44
S2-F9-DB01-905,5,NS-S2-F2-DBWG03,3,922.19
S2-F9-DB01-906,6,NS-S2-F2-DBWG03,3,445.63
S2-F9-DB01-907,7,NS-S2-F2-DBWG03,3,842.32
S2-F9-DB01-908,8,NS-S2-F2-DBWG03,3,1720.55
S2-F9-DB01-909,9,NS-S2-F2-DBWG03,3,1344.95
S2-F9-DB01-910,10,NS-S2-F2-DBWG03,3,1586.91
S2-F9-DB01-911,11,NS-S2-F2-DBWG03,3,1314.72
S2-F9-DB01-912,12,NS-S2-F2-DBWG03,3,853.91
S2-F9-DB02-913,13,NS-S2-F2-DBWG03,3,1746.51
S2-F9-DB02-914,14,NS-S2-F2-DBWG03,3,518.28
S2-F9-DB02-915,15,NS-S2-F2-DBWG03,3,1393.48
S2-F9-DB02-916,16,NS-S2-F2-DBWG03,3,1327.32
S2-F9-DB02-917,17,NS-S2-F2-DBWG03,3,616.57
S2-F9-DB02-918,18,NS-S2-F2-DBWG03,3,1307.37
S2-F9-DB02-919,19,NS-S2-F2-DBWG03,3,625.87
S2-F9-DB02-920,20,NS-S2-F2-DBWG03,3,604.18
S2-F9-DB02-921,21,NS-S2-F2-DBWG03,3,1079.24
S2-F9-DB02-922,22,NS-S2-F2-DBWG03,3,708.06
S2-F9-DB02-923,23,NS-S2-F2-DBWG03,3,2259.64
S2-F9-DB02-924,24,NS-S2-F2-DBWG03,3,2124.51
S2-F9-DB03-925,25,NS-S2-F2-DBWG03,3,465.52
S2-F9-DB03-926,26,NS-S2-F2-DBWG03,3,1468.59
S2-F9-DB03-927,27,NS-S2-F2-DBWG03,3,715.49
S2-F9-DB03-928,28,NS-S2-F2-DBWG03,3,1575.69
S2-F9-DB03-929,29,NS-S2-F2-DBWG03,3,910.14
S2-F9-DB03-930,30,NS-S2-F2-DBWG03,3,679.24
S2-F9-DB03-931,31,NS-S2-F2-DBWG03,3,1649.37
S3-F1-DB01-101,1,NS-S3-F2-DBWG01,1,1256.86
S3-F1-DB01-102,2,NS-S3-F2-DBWG01,1,2198.29
S3-F1-DB01-103,3,NS-S3-F2-DBWG01,1,1218.19
S3-F1-DB01-104,4,NS-S3-F2-DBWG01,1,2493.03
S3-F1-DB01-105,5,NS-S3-F2-DBWG01,1,1233.93
S3-F1-DB01-106,6,NS-S3-F2-DBWG01,1,1053.59
S3-F1-DB01-107,7,NS-S3-F2-DBWG01,1,273.41
S3-F1-DB01-108,8,NS-S3-F2-DBWG01,1,286.21
S3-F1-DB01-109,9,NS-S3-F2-DBWG01,1,956.16
S3-F1-DB01-110,10,NS-S3-F2-DBWG01,1,380.64
S3-F1-DB01-111,11,NS-S3-F2-DBWG01,1,2568.1
S3-F1-DB01-112,12,NS-S3-F2-DBWG01,1,851.71
S3-F1-DB02-113,13,NS-S3-F2-DBWG01,1,270.82
S3-F1-DB02-114,14,NS-S3-F2-DBWG01,1,1032.44
S3-F1-DB02-115,15,NS-S3-F2-DBWG01,1,672.02
S3-F1-DB02-116,16,NS-S3-F2-DBWG01,1,1157.61
S3-F2-DB01-201,1,NS-S3-F2-DBWG01,2,201.41
S3-F2-DB01-202,2,NS-S3-F2-DBWG01,2,451.77
S3-F2-DB01-203,3,NS-S3-F2-DBWG01,2,2051.55
S3-F2-DB01-204,4,NS-S3-F2-DBWG01,2,1266.25
S3-F2-DB01-205,5,NS-S3-F2-DBWG01,2,831.41
S3-F2-DB01-206,6,NS-S3-F2-DBWG01,2,490.41
S3-F2-DB01-207,7,NS-S3-F2-DBWG01,2,1125.6
S3-F2-DB01-208,8,NS-S3-F2-DBWG01,2,1955.92
S3-F2-DB01-209,9,NS-S3-F2-DBWG01,2,283.29
S3-F2-DB01-210,10,NS-S3-F2-DBWG01,2,478.15
S3-F2-DB01-211,11,NS-S3-F2-DBWG01,2,245.55
S3-F2-DB01-212,12,NS-S3-F2-DBWG01,2,1103.9
S3-F2-DB02-213,13,NS-S3-F2-DBWG01,2,307.47
S3-F2-DB02-214,14,NS-S3-F2-DBWG01,2,429.91
S3-F2-DB02-215,15,NS-S3-F2-DBWG01,2,1086.08
S3-F2-DB02-216,16,NS-S3-F2-DBWG01,2,878.23
S3-F2-DB02-217,17,NS-S3-F2-DBWG01,2,966.97
S3-F2-DB02-218,18,NS-S3-F2-DBWG01,2,1656.97
S3-F2-DB02-219,19,NS-S3-F2-DBWG01,2,1914.89
S3-F2-DB02-220,20,NS-S3-F2-DBWG01,2,416.24
S3-F2-DB02-221,21,NS-S3-F2-DBWG01,2,279.62
S3-F2-DB02-222,22,NS-S3-F2-DBWG01,2,483.48
S3-F2-DB02-223,23,NS-S3-F2-DBWG01,2,1243.44
S3-F2-DB02-224,24,NS-S3-F2-DBWG01,2,1347.74
S3-F2-DB03-225,25,NS-S3-F2-DBWG01,2,1203.04
S3-F2-DB03-226,26,NS-S3-F2-DBWG01,2,1431
S3-F2-DB03-227,27,NS-S3-F2-DBWG01,2,1137.58
S3-F2-DB03-228,28,NS-S3-F2-DBWG01,2,829.84
S3-F2-DB03-229,29,NS-S3-F2-DBWG01,2,938.22
S3-F2-DB03-230,30,NS-S3-F2-DBWG01,2,1105.65
S3-F2-DB03-231,31,NS-S3-F2-DBWG01,2,1506.34
S3-F3-DB01-301,1,NS-S3-F2-DBWG01,3,1377.27
S3-F3-DB01-302,2,NS-S3-F2-DBWG01,3,449.53
S3-F3-DB01-303,3,NS-S3-F2-DBWG01,3,297.02
S3-F3-DB01-304,4,NS-S3-F2-DBWG01,3,285.14
S3-F3-DB01-305,5,NS-S3-F2-DBWG01,3,1302.02
S3-F3-DB01-306,6,NS-S3-F2-DBWG01,3,1017.32
S3-F3-DB01-307,7,NS-S3-F2-DBWG01,3,2269.91
S3-F3-DB01-308,8,NS-S3-F2-DBWG01,3,1311.69
S3-F3-DB01-309,9,NS-S3-F2-DBWG01,3,1069.37
S3-F3-DB01-310,10,NS-S3-F2-DBWG01,3,490.4
S3-F3-DB01-311,11,NS-S3-F2-DBWG01,3,1080.35
S3-F3-DB01-312,12,NS-S3-F2-DBWG01,3,1244.82
S3-F3-DB02-313,13,NS-S3-F2-DBWG01,3,325.95
S3-F3-DB02-314,14,NS-S3-F2-DBWG01,3,1150.12
S3-F3-DB02-315,15,NS-S3-F2-DBWG01,3,719.77
S3-F3-DB02-316,16,NS-S3-F2-DBWG01,3,732.26
S3-F3-DB02-317,17,NS-S3-F2-DBWG01,3,462.62
S3-F3-DB02-318,18,NS-S3-F2-DBWG01,3,1313.57
S3-F3-DB02-319,19,NS-S3-F2-DBWG01,3,1097.13
S3-F3-DB02-320,20,NS-S3-F2-DBWG01,3,1596.56
S3-F3-DB02-321,21,NS-S3-F2-DBWG01,3,552.87
S3-F3-DB02-322,22,NS-S3-F2-DBWG01,3,1447.87
S3-F3-DB02-323,23,NS-S3-F2-DBWG01,3,705.37
S3-F3-DB02-324,24,NS-S3-F2-DBWG01,3,223.59
S3-F3-DB03-325,25,NS-S3-F2-DBWG01,3,431.2
S3-F3-DB03-326,26,NS-S3-F2-DBWG01,3,1995.76
S3-F3-DB03-327,27,NS-S3-F2-DBWG01,3,669.54
S3-F3-DB03-328,28,NS-S3-F2-DBWG01,3,853.54
S3-F3-DB03-329,29,NS-S3-F2-DBWG01,3,293.46
S3-F3-DB03-330,30,NS-S3-F2-DBWG01,3,1143.56
S3-F3-DB03-331,31,NS-S3-F2-DBWG01,3,1555.92
S3-F4-DB01-401,1,NS-S3-F2-DBWG02,1,865.19
S3-F4-DB01-402,2,NS-S3-F2-DBWG02,1,1.00E+03
S3-F4-DB01-403,3,NS-S3-F2-DBWG02,1,1145.38
S3-F4-DB01-404,4,NS-S3-F2-DBWG02,1,1451.38
S3-F4-DB01-405,5,NS-S3-F2-DBWG02,1,93.6
S3-F4-DB01-406,6,NS-S3-F2-DBWG02,1,641.96
S3-F4-DB01-407,7,NS-S3-F2-DBWG02,1,745.37
S3-F4-DB01-408,8,NS-S3-F2-DBWG02,1,557.83
S3-F4-DB01-409,9,NS-S3-F2-DBWG02,1,391.61
S3-F4-DB01-410,10,NS-S3-F2-DBWG02,1,951.78
S3-F4-DB01-411,11,NS-S3-F2-DBWG02,1,1426.79
S3-F4-DB01-412,12,NS-S3-F2-DBWG02,1,95.7
S3-F4-DB02-413,13,NS-S3-F2-DBWG02,1,307.03
S3-F4-DB02-414,14,NS-S3-F2-DBWG02,1,876.78
S3-F4-DB02-415,15,NS-S3-F2-DBWG02,1,91.48
S3-F4-DB02-416,16,NS-S3-F2-DBWG02,1,233.91
S3-F4-DB02-417,17,NS-S3-F2-DBWG02,1,440.69
S3-F4-DB02-418,18,NS-S3-F2-DBWG02,1,293.08
S3-F4-DB02-419,19,NS-S3-F2-DBWG02,1,828.31
S3-F4-DB02-420,20,NS-S3-F2-DBWG02,1,967.67
S3-F4-DB02-421,21,NS-S3-F2-DBWG02,1,388.83
S3-F4-DB02-422,22,NS-S3-F2-DBWG02,1,284.96
S3-F4-DB02-423,23,NS-S3-F2-DBWG02,1,385.5
S3-F4-DB02-424,24,NS-S3-F2-DBWG02,1,1071.13
S3-F4-DB03-425,25,NS-S3-F2-DBWG02,1,936.19
S3-F4-DB03-426,26,NS-S3-F2-DBWG02,1,117.67
S3-F4-DB03-427,27,NS-S3-F2-DBWG02,1,387.66
S3-F4-DB03-428,28,NS-S3-F2-DBWG02,1,948.21
S3-F4-DB03-429,29,NS-S3-F2-DBWG02,1,1066.23
S3-F4-DB03-430,30,NS-S3-F2-DBWG02,1,1108.78
S3-F4-DB03-431,31,NS-S3-F2-DBWG02,1,1301.01
S3-F5-DB01-501,1,NS-S3-F2-DBWG02,2,1104.42
S3-F5-DB01-502,2,NS-S3-F2-DBWG02,2,1702.24
S3-F5-DB01-503,3,NS-S3-F2-DBWG02,2,806.5
S3-F5-DB01-504,4,NS-S3-F2-DBWG02,2,595.4
S3-F5-DB01-505,5,NS-S3-F2-DBWG02,2,1022.66
S3-F5-DB01-506,6,NS-S3-F2-DBWG02,2,556.87
S3-F5-DB01-507,7,NS-S3-F2-DBWG02,2,2146.66
S3-F5-DB01-508,8,NS-S3-F2-DBWG02,2,905.65
S3-F5-DB01-509,9,NS-S3-F2-DBWG02,2,401.96
S3-F5-DB01-510,10,NS-S3-F2-DBWG02,2,970.53
S3-F5-DB01-511,11,NS-S3-F2-DBWG02,2,903.55
S3-F5-DB01-512,12,NS-S3-F2-DBWG02,2,1160.96
S3-F5-DB02-513,13,NS-S3-F2-DBWG02,2,1421.2
S3-F5-DB02-514,14,NS-S3-F2-DBWG02,2,982.86
S3-F5-DB02-515,15,NS-S3-F2-DBWG02,2,697.15
S3-F5-DB02-516,16,NS-S3-F2-DBWG02,2,1249.21
S3-F5-DB02-517,17,NS-S3-F2-DBWG02,2,1107.85
S3-F5-DB02-518,18,NS-S3-F2-DBWG02,2,1055.31
S3-F5-DB02-519,19,NS-S3-F2-DBWG02,2,444.19
S3-F5-DB02-520,20,NS-S3-F2-DBWG02,2,727.8
S3-F5-DB02-521,21,NS-S3-F2-DBWG02,2,1661.92
S3-F5-DB02-522,22,NS-S3-F2-DBWG02,2,529.99
S3-F5-DB02-523,23,NS-S3-F2-DBWG02,2,1078.63
S3-F5-DB02-524,24,NS-S3-F2-DBWG02,2,206.01
S3-F5-DB03-525,25,NS-S3-F2-DBWG02,2,562.06
S3-F5-DB03-526,26,NS-S3-F2-DBWG02,2,924.87
S3-F5-DB03-527,27,NS-S3-F2-DBWG02,2,1143.71
S3-F5-DB03-528,28,NS-S3-F2-DBWG02,2,446.09
S3-F5-DB03-529,29,NS-S3-F2-DBWG02,2,1114.56
S3-F5-DB03-530,30,NS-S3-F2-DBWG02,2,1032.3
S3-F5-DB03-531,31,NS-S3-F2-DBWG02,2,943.84
S3-F6-DB01-601,1,NS-S3-F2-DBWG02,3,763.27
S3-F6-DB01-602,2,NS-S3-F2-DBWG02,3,1398.71
S3-F6-DB01-603,3,NS-S3-F2-DBWG02,3,997.41
S3-F6-DB01-604,4,NS-S3-F2-DBWG02,3,1444.73
S3-F6-DB01-605,5,NS-S3-F2-DBWG02,3,1385.8
S3-F6-DB01-606,6,NS-S3-F2-DBWG02,3,770.87
S3-F6-DB01-607,7,NS-S3-F2-DBWG02,3,971.3
S3-F6-DB01-608,8,NS-S3-F2-DBWG02,3,1084.44
S3-F6-DB01-609,9,NS-S3-F2-DBWG02,3,2556.91
S3-F6-DB01-610,10,NS-S3-F2-DBWG02,3,977.68
S3-F6-DB01-611,11,NS-S3-F2-DBWG02,3,461.36
S3-F6-DB01-612,12,NS-S3-F2-DBWG02,3,1511.12
S3-F6-DB02-613,13,NS-S3-F2-DBWG02,3,769.14
S3-F6-DB02-614,14,NS-S3-F2-DBWG02,3,741.36
S3-F6-DB02-615,15,NS-S3-F2-DBWG02,3,1038.02
S3-F6-DB02-616,16,NS-S3-F2-DBWG02,3,1391.8
S3-F6-DB02-617,17,NS-S3-F2-DBWG02,3,1510.14
S3-F6-DB02-618,18,NS-S3-F2-DBWG02,3,1868.37
S3-F6-DB02-619,19,NS-S3-F2-DBWG02,3,1117.79
S3-F6-DB02-620,20,NS-S3-F2-DBWG02,3,1320.58
S3-F6-DB02-621,21,NS-S3-F2-DBWG02,3,541.3
S3-F6-DB02-622,22,NS-S3-F2-DBWG02,3,179.43
S3-F6-DB02-623,23,NS-S3-F2-DBWG02,3,1303.19
S3-F6-DB02-624,24,NS-S3-F2-DBWG02,3,1036.81
S3-F6-DB03-625,25,NS-S3-F2-DBWG02,3,710.55
S3-F6-DB03-626,26,NS-S3-F2-DBWG02,3,1154.99
S3-F6-DB03-627,27,NS-S3-F2-DBWG02,3,591.46
S3-F6-DB03-628,28,NS-S3-F2-DBWG02,3,1253.32
S3-F6-DB03-629,29,NS-S3-F2-DBWG02,3,1276.82
S3-F6-DB03-630,30,NS-S3-F2-DBWG02,3,1559.29
S3-F6-DB03-631,31,NS-S3-F2-DBWG02,3,1388.69
S3-F7-DB01-701,1,NS-S3-F2-DBWG03,1,1708.9
S3-F7-DB01-702,2,NS-S3-F2-DBWG03,1,144.38
S3-F7-DB01-703,3,NS-S3-F2-DBWG03,1,834.1
S3-F7-DB01-704,4,NS-S3-F2-DBWG03,1,117.1
S3-F7-DB01-705,5,NS-S3-F2-DBWG03,1,110.8
S3-F7-DB01-706,6,NS-S3-F2-DBWG03,1,839.46
S3-F7-DB01-707,7,NS-S3-F2-DBWG03,1,136.63
S3-F7-DB01-708,8,NS-S3-F2-DBWG03,1,68.64
S3-F7-DB01-709,9,NS-S3-F2-DBWG03,1,672.02
S3-F7-DB01-710,10,NS-S3-F2-DBWG03,1,101.58
S3-F7-DB01-711,11,NS-S3-F2-DBWG03,1,203.27
S3-F7-DB01-712,12,NS-S3-F2-DBWG03,1,232.05
S3-F7-DB02-713,13,NS-S3-F2-DBWG03,1,1372.34
S3-F7-DB02-714,14,NS-S3-F2-DBWG03,1,69.6
S3-F7-DB02-715,15,NS-S3-F2-DBWG03,1,466.43
S3-F7-DB02-716,16,NS-S3-F2-DBWG03,1,268.86
S3-F7-DB02-717,17,NS-S3-F2-DBWG03,1,240.09
S3-F7-DB02-718,18,NS-S3-F2-DBWG03,1,492.89
S3-F7-DB02-719,19,NS-S3-F2-DBWG03,1,826.71
S3-F7-DB02-720,20,NS-S3-F2-DBWG03,1,683.15
